quote,value
EUR.DEPOSIT.6M,-0.365
EUR.FRA.1M,-0.372
EUR.FRA.2M,-0.3905
EUR.FRA.3M,-0.398
EUR.FRA.4M,-0.412
EUR.FRA.5M,-0.419
EUR.FRA.6M,-0.432
EUR.FRA.7M,-0.436
EUR.FRA.8M,-0.44
EUR.FRA.9M,-0.4475
EUR.FRA.10M,-0.447
EUR.FRA.11M,-0.449
EUR.FRA.12M,-0.459
EUR.SWAP.2Y,-0.4287
EUR.SWAP.3Y,-0.4262
EUR.SWAP.4Y,-0.402
EUR.SWAP.5Y,-0.363
EUR.SWAP.6Y,-0.314
EUR.SWAP.7Y,-0.2577
EUR.SWAP.8Y,-0.1935
EUR.SWAP.9Y,-0.1267
EUR.SWAP.10Y,-0.06
EUR.SWAP.11Y,0.0023
EUR.SWAP.12Y,0.0602
EUR.SWAP.15Y,0.2
EUR.SWAP.20Y,0.331
EUR.SWAP.25Y,0.374
EUR.SWAP.30Y,0.376
EUR.SWAP.35Y,0.3605
EUR.SWAP.40Y,0.336
EUR.SWAP.45Y,0.3143
EUR.SWAP.50Y,0.291
EUR.ON.1D,-0.367
EUR.OIS.1W,-0.461
EUR.OIS.2W,-0.46
EUR.OIS.1M,-0.45
EUR.OIS.2M,-0.4558
EUR.OIS.3M,-0.4523
EUR.OIS.4M,-0.4613
EUR.OIS.5M,-0.4678
EUR.OIS.6M,-0.46
EUR.OIS.7M,-0.4833
EUR.OIS.8M,-0.4915
EUR.OIS.9M,-0.5003
EUR.OIS.10M,-0.5088
EUR.OIS.11M,-0.514
EUR.OIS.12M,-0.5228
EUR.OIS.18M,-0.5415
EUR.OIS.2Y,-0.566
EUR.OIS.30M,-0.569
EUR.OIS.3Y,-0.577
EUR.OIS.4Y,-0.562
EUR.OIS.5Y,-0.528
EUR.OIS.6Y,-0.486
EUR.OIS.7Y,-0.429
EUR.OIS.8Y,-0.367
EUR.OIS.9Y,-0.301
EUR.OIS.10Y,-0.236
EUR.OIS.11Y,-0.174
EUR.OIS.12Y,-0.116
EUR.OIS.15Y,0.035
EUR.OIS.20Y,0.176
EUR.OIS.25Y,0.229
EUR.OIS.30Y,0.243
EUR.OIS.35Y,0.2317
EUR.OIS.40Y,0.192
PLN.DEPOSIT.6M,1.79
PLN.FRA.1M,1.79
PLN.FRA.2M,1.79
PLN.FRA.3M,1.7875
PLN.FRA.4M,1.7818
PLN.FRA.5M,1.7810000000000001
PLN.FRA.6M,1.78
PLN.FRA.12M,1.75
PLN.SWAP.2Y,1.7675
PLN.SWAP.3Y,1.77
PLN.SWAP.4Y,1.7825
PLN.SWAP.5Y,1.7974999999999999
PLN.SWAP.6Y,1.8075
PLN.SWAP.7Y,1.8125
PLN.SWAP.8Y,1.8175
PLN.SWAP.9Y,1.825
PLN.SWAP.10Y,1.8375
PLN.SWAP.15Y,1.87
PLN.SWAP.20Y,1.9100000000000001
PLN.SWAP.30Y,1.7922
TWD.DEPOSIT.1W,0.26589
TWD.DEPOSIT.2W,0.34222
TWD.DEPOSIT.1M,0.54567
TWD.DEPOSIT.2M,0.62622
TWD.DEPOSIT.3M,0.66811
TWD.SWAP.1Y,0.645
TWD.SWAP.2Y,0.6488
TWD.SWAP.3Y,0.665
TWD.SWAP.4Y,0.68
TWD.SWAP.5Y,0.7075
TWD.SWAP.7Y,0.795
TWD.SWAP.10Y,0.9425
TWD.SWAP.12Y,1.005
TWD.SWAP.15Y,1.155
PLN.DEPOSIT.3M,1.72
PLN.FRA3M.1M,1.72
PLN.FRA3M.2M,1.7175
PLN.FRA3M.3M,1.7149999999999999
PLN.FRA3M.4M,1.7105000000000001
PLN.FRA3M.5M,1.7077
PLN.FRA3M.6M,1.705
PLN.FRA3M.7M,1.7008999999999999
PLN.FRA3M.8M,1.6961
PLN.FRA3M.9M,1.69
PLN.FRA3M.12M,1.675
PLN.FRA3M.15M,1.6524999999999999
PLN.FRA3M.18M,1.6275
PLN.FRA3M.21M,1.6
PLN.SWAP3M.3Y,1.49
PLN.SWAP3M.4Y,1.47
PLN.SWAP3M.5Y,1.47
PLN.SWAP3M.6Y,1.47
PLN.SWAP3M.7Y,1.48
PLN.SWAP3M.8Y,1.49
PLN.SWAP3M.9Y,1.51
PLN.SWAP3M.10Y,1.74
PLN.SWAP3M.12Y,1.56
PLN.SWAP3M.15Y,1.65
PLN.SWAP3M.20Y,1.74
COP.ON.1D,4.106
COP.OIS.1M,4.125
COP.OIS.3M,4.1348
COP.OIS.6M,4.14
COP.OIS.9M,4.155
COP.OIS.12M,4.17
COP.OIS.18M,4.24
COP.OIS.2Y,4.165
COP.OIS.3Y,4.285
COP.OIS.4Y,4.42
COP.OIS.5Y,4.55
COP.OIS.7Y,4.83
COP.OIS.8Y,4.965
COP.OIS.10Y,5.23
COP.OIS.12Y,5.42
COP.OIS.15Y,5.5600000000000005
COP.OIS.20Y,5.78
EUR.DEPOSIT.3M,-0.398
EUR.FUTURE.1,100.43
EUR.FUTURE.2,100.48
EUR.FUTURE.3,100.505
EUR.FUTURE.4,100.52
EUR.FUTURE.5,100.53
EUR.FUTURE.6,100.525
EUR.FUTURE.7,100.52
EUR.FUTURE.8,100.51
EUR.FUTURE.9,100.5
EUR.FUTURE.10,100.485
EUR.FUTURE.11,100.47
EUR.FUTURE.12,100.445
EUR.SWAP3M.3Y,-0.4955
EUR.SWAP3M.4Y,-0.477
EUR.SWAP3M.5Y,-0.441
EUR.SWAP3M.6Y,-0.3915
EUR.SWAP3M.7Y,-0.3345
EUR.SWAP3M.8Y,-0.2695
EUR.SWAP3M.9Y,-0.201
EUR.SWAP3M.10Y,-0.133
EUR.SWAP3M.11Y,-0.068
EUR.SWAP3M.12Y,-0.008
EUR.SWAP3M.15Y,0.1458
EUR.SWAP3M.20Y,0.2885
EUR.SWAP3M.25Y,0.3395
EUR.SWAP3M.30Y,0.346
EUR.SWAP3M.35Y,0.3333
EUR.SWAP3M.40Y,0.3133
EUR.SWAP3M.50Y,0.2703
AUD.ON.1D,1.0
AUD.OIS.1W,0.995
AUD.OIS.1M,0.9475
AUD.OIS.2M,0.8987
AUD.OIS.3M,0.8488
AUD.OIS.4M,0.812
AUD.OIS.5M,0.788
AUD.OIS.6M,0.7553
AUD.OIS.9M,0.715
AUD.OIS.1Y,0.68
AUD.OIS.18M,0.645
AUD.OIS.2Y,0.624
AUD.OIS.3Y,0.63
AUD.OIS.4Y,0.64
AUD.OIS.5Y,0.67
AUD.OIS.6Y,0.725
AUD.OIS.7Y,0.778
AUD.OIS.8Y,0.83
AUD.OIS.9Y,0.883
AUD.OIS.10Y,0.935
AUD.OIS.12Y,1.025
AUD.OIS.15Y,1.135
AUD.OIS.20Y,1.2530000000000001
AUD.OIS.25Y,1.295
AUD.OIS.30Y,1.285
