quote,ticker
EUR.DEPOSIT.6M,EUR006M Index
EUR.FRA.1M,EUFR0AG Index
EUR.FRA.2M,EUFR0BH Index
EUR.FRA.3M,EUFR0CI Index
EUR.FRA.4M,EUFR0DJ Index
EUR.FRA.5M,EUFR0EK Index
EUR.FRA.6M,EUFR0F1 Index
EUR.FRA.7M,EUFR0G1A Index
EUR.FRA.8M,EUFR0H1B Index
EUR.FRA.9M,EUFR0I1C Index
EUR.FRA.10M,EUFR0J1D Index
EUR.FRA.11M,EUFR0K1E Index
EUR.FRA.12M,EUFR011F Index
EUR.SWAP.2Y,EUSA2 Index
EUR.SWAP.3Y,EUSA3 Index
EUR.SWAP.4Y,EUSA4 Index
EUR.SWAP.5Y,EUSA5 Index
EUR.SWAP.6Y,EUSA6 Index
EUR.SWAP.7Y,EUSA7 Index
EUR.SWAP.8Y,EUSA8 Index
EUR.SWAP.9Y,EUSA9 Index
EUR.SWAP.10Y,EUSA10 Index
EUR.SWAP.11Y,EUSA11 Index
EUR.SWAP.12Y,EUSA12 Index
EUR.SWAP.15Y,EUSA15 Index
EUR.SWAP.20Y,EUSA20 Index
EUR.SWAP.25Y,EUSA25 Index
EUR.SWAP.30Y,EUSA30 Index
EUR.SWAP.35Y,EUSA35 Index
EUR.SWAP.40Y,EUSA40 Index
EUR.SWAP.45Y,EUSA45 Index
EUR.SWAP.50Y,EUSA50 Index
EUR.ON.1D,EONIA Index
EUR.OIS.1W,EUSWE1Z CMPN Curncy
EUR.OIS.2W,EUSWE2Z CMPN Curncy
EUR.OIS.1M,EUSWEA CMPN Curncy
EUR.OIS.2M,EUSWEB CMPN Curncy
EUR.OIS.3M,EUSWEC CMPN Curncy
EUR.OIS.4M,EUSWED CMPN Curncy
EUR.OIS.5M,EUSWEE CMPN Curncy
EUR.OIS.6M,EUSWEF CMPN Curncy
EUR.OIS.7M,EUSWEG CMPN Curncy
EUR.OIS.8M,EUSWEH CMPN Curncy
EUR.OIS.9M,EUSWEI CMPN Curncy
EUR.OIS.10M,EUSWEJ CMPN Curncy
EUR.OIS.11M,EUSWEK CMPN Curncy
EUR.OIS.12M,EUSWE1 CMPN Curncy
EUR.OIS.18M,EUSWE1F CMPN Curncy
EUR.OIS.2Y,EUSWE2 CMPN Curncy
EUR.OIS.30M,EUSWE2F CMPN Curncy
EUR.OIS.3Y,EUSWE3 CMPN Curncy
EUR.OIS.4Y,EUSWE4 CMPN Curncy
EUR.OIS.5Y,EUSWE5 CMPN Curncy
EUR.OIS.6Y,EUSWE6 CMPN Curncy
EUR.OIS.7Y,EUSWE7 CMPN Curncy
EUR.OIS.8Y,EUSWE8 CMPN Curncy
EUR.OIS.9Y,EUSWE9 CMPN Curncy
EUR.OIS.10Y,EUSWE10 CMPN Curncy
EUR.OIS.11Y,EUSWE11 CMPN Curncy
EUR.OIS.12Y,EUSWE12 CMPN Curncy
EUR.OIS.15Y,EUSWE15 CMPN Curncy
EUR.OIS.20Y,EUSWE20 CMPN Curncy
EUR.OIS.25Y,EUSWE25 CMPN Curncy
EUR.OIS.30Y,EUSWE30 CMPN Curncy
EUR.OIS.35Y,EUSWE35 CMPN Curncy
EUR.OIS.40Y,EUSWE40 CMPN Curncy

PLN.DEPOSIT.6M,WIBR6M Index
PLN.FRA.1M,PZFR0AG CMPN Curncy
PLN.FRA.2M,PZFR0BH CMPN Curncy
PLN.FRA.3M,PZFR0CI CMPN Curncy
PLN.FRA.4M,PZFR0DJ CMPN Curncy
PLN.FRA.5M,PZFR0EK CMPN Curncy
PLN.FRA.6M,PZFR0F1 CMPN Curncy
PLN.FRA.12M,PZFR011F CMPN Curncy
PLN.SWAP.2Y,PZSW2 CMPN Curncy
PLN.SWAP.3Y,PZSW3 CMPN Curncy
PLN.SWAP.4Y,PZSW4 CMPN Curncy
PLN.SWAP.5Y,PZSW5 CMPN Curncy
PLN.SWAP.6Y,PZSW6 CMPN Curncy
PLN.SWAP.7Y,PZSW7 CMPN Curncy
PLN.SWAP.8Y,PZSW8 CMPN Curncy
PLN.SWAP.9Y,PZSW9 CMPN Curncy
PLN.SWAP.10Y,PZSW10 CMPN Curncy
PLN.SWAP.15Y,PZSW15 CMPN Curncy
PLN.SWAP.20Y,PZSW20 CMPN Curncy
PLN.SWAP.30Y,PZSW30 CMPN Curncy
TWD.DEPOSIT.1W,TAIBOR1W BGN Index
TWD.DEPOSIT.2W,TAIBOR2W BGN Index
TWD.DEPOSIT.1M,TAIBOR1M BGN Index
TWD.DEPOSIT.2M,TAIBOR2M BGN Index
TWD.DEPOSIT.3M,TAIBOR3M BGN Index
TWD.SWAP.1Y,TDSWO1 BGN  Curncy
TWD.SWAP.2Y,TDSWO2 BGN  Curncy
TWD.SWAP.3Y,TDSWO3 BGN  Curncy
TWD.SWAP.4Y,TDSWO4 BGN  Curncy
TWD.SWAP.5Y,TDSWO5 BGN  Curncy
TWD.SWAP.7Y,TDSWO7 BGN  Curncy
TWD.SWAP.10Y,TDSWO10 BGN  Curncy
TWD.SWAP.12Y,TDSWO12 BGN  Curncy
TWD.SWAP.15Y,TDSWO15 BGN  Curncy

PLN.DEPOSIT.3M,WIBR3M Index
PLN.FRA3M.1M,PZFR0AD CMPN Curncy
PLN.FRA3M.2M,PZFR0BE CMPN Curncy
PLN.FRA3M.3M,PZFR0CF CMPN Curncy
PLN.FRA3M.4M,PZFR0DG CMPN Curncy
PLN.FRA3M.5M,PZFR0EH CMPN Curncy
PLN.FRA3M.6M,PZFR0FI CMPN Curncy
PLN.FRA3M.7M,PZFR0GJ CMPN Curncy
PLN.FRA3M.8M,PZFR0HK CMPN Curncy
